destination,passanger,weather,temperature,time,coupon,expiration,gender,age,maritalStatus,has_children,education,occupation,income,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,direction_opp,Y
no urgent place,alone,sunny,0.5000000000000001,2pm,restaurant(<20),1d,female,21.0,unmarried partner,1.0,some college - no degree,unemployed,$37500 - $49999,never,never,4~8,4~8,1~3,0.0,0.0,0.0,0.0,1.0
no urgent place,friend(s),sunny,1.0,10am,coffee house,2h,female,21.0,unmarried partner,1.0,some college - no degree,unemployed,$37500 - $49999,never,never,4~8,4~8,1~3,0.0,0.0,0.0,0.0,0.0
no urgent place,friend(s),sunny,1.0,10am,carry out & take away,2h,female,21.0,unmarried partner,1.0,some college - no degree,unemployed,$37500 - $49999,never,never,4~8,4~8,1~3,1.0,0.0,0.0,0.0,1.0
no urgent place,friend(s),sunny,1.0,2pm,coffee house,2h,female,21.0,unmarried partner,1.0,some college - no degree,unemployed,$37500 - $49999,never,never,4~8,4~8,1~3,1.0,0.0,0.0,0.0,0.0
no urgent place,friend(s),sunny,1.0,2pm,coffee house,1d,female,21.0,unmarried partner,1.0,some college - no degree,unemployed,$37500 - $49999,never,never,4~8,4~8,1~3,1.0,0.0,0.0,0.0,0.0
no urgent place,friend(s),sunny,1.0,6pm,restaurant(<20),2h,female,21.0,unmarried partner,1.0,some college - no degree,unemployed,$37500 - $49999,never,never,4~8,4~8,1~3,1.0,0.0,0.0,0.0,1.0
no urgent place,friend(s),sunny,0.5000000000000001,2pm,carry out & take away,1d,female,21.0,unmarried partner,1.0,some college - no degree,unemployed,$37500 - $49999,never,never,4~8,4~8,1~3,1.0,0.0,0.0,0.0,1.0
no urgent place,kid(s),sunny,1.0,10am,restaurant(<20),2h,female,21.0,unmarried partner,1.0,some college - no degree,unemployed,$37500 - $49999,never,never,4~8,4~8,1~3,1.0,0.0,0.0,0.0,1.0
no urgent place,kid(s),sunny,1.0,10am,carry out & take away,2h,female,21.0,unmarried partner,1.0,some college - no degree,unemployed,$37500 - $49999,never,never,4~8,4~8,1~3,1.0,0.0,0.0,0.0,1.0
no urgent place,kid(s),sunny,1.0,10am,bar,1d,female,21.0,unmarried partner,1.0,some college - no degree,unemployed,$37500 - $49999,never,never,4~8,4~8,1~3,1.0,0.0,0.0,0.0,0.0
no urgent place,kid(s),sunny,1.0,2pm,restaurant(<20),1d,female,21.0,unmarried partner,1.0,some college - no degree,unemployed,$37500 - $49999,never,never,4~8,4~8,1~3,0.0,0.0,0.0,0.0,1.0
no urgent place,kid(s),sunny,0.5000000000000001,2pm,restaurant(<20),1d,female,21.0,unmarried partner,1.0,some college - no degree,unemployed,$37500 - $49999,never,never,4~8,4~8,1~3,1.0,0.0,0.0,0.0,1.0
no urgent place,kid(s),sunny,0.5000000000000001,6pm,coffee house,2h,female,21.0,unmarried partner,1.0,some college - no degree,unemployed,$37500 - $49999,never,never,4~8,4~8,1~3,1.0,0.0,0.0,0.0,1.0
home,alone,sunny,0.5000000000000001,6pm,restaurant(20-50),1d,female,21.0,unmarried partner,1.0,some college - no degree,unemployed,$37500 - $49999,never,never,4~8,4~8,1~3,1.0,0.0,0.0,0.0,1.0
