destination,passanger,weather,temperature,time,coupon,expiration,gender,age,maritalStatus,has_children,education,occupation,income,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,direction_opp,Y
1,0,2,55,2,4,0,0,21,3,1,some college - no degree,unemployed,$37500 - $49999,4,4,0,1,0,0,0,0,1,1
1,1,2,80,0,2,1,0,21,3,1,some college - no degree,unemployed,$37500 - $49999,4,4,0,1,0,0,0,0,1,0
1,1,2,80,0,1,1,0,21,3,1,some college - no degree,unemployed,$37500 - $49999,4,4,0,1,0,1,0,0,1,1
1,1,2,80,2,2,1,0,21,3,1,some college - no degree,unemployed,$37500 - $49999,4,4,0,1,0,1,0,0,1,0
1,1,2,80,2,2,0,0,21,3,1,some college - no degree,unemployed,$37500 - $49999,4,4,0,1,0,1,0,0,1,0
1,1,2,80,3,4,1,0,21,3,1,some college - no degree,unemployed,$37500 - $49999,4,4,0,1,0,1,0,0,1,1
1,1,2,55,2,1,0,0,21,3,1,some college - no degree,unemployed,$37500 - $49999,4,4,0,1,0,1,0,0,1,1
1,2,2,80,0,4,1,0,21,3,1,some college - no degree,unemployed,$37500 - $49999,4,4,0,1,0,1,0,0,1,1
1,2,2,80,0,1,1,0,21,3,1,some college - no degree,unemployed,$37500 - $49999,4,4,0,1,0,1,0,0,1,1
1,2,2,80,0,0,0,0,21,3,1,some college - no degree,unemployed,$37500 - $49999,4,4,0,1,0,1,0,0,1,0
1,2,2,80,2,4,0,0,21,3,1,some college - no degree,unemployed,$37500 - $49999,4,4,0,1,0,0,0,0,1,1
1,2,2,55,2,4,0,0,21,3,1,some college - no degree,unemployed,$37500 - $49999,4,4,0,1,0,1,0,0,1,1
1,2,2,55,3,2,1,0,21,3,1,some college - no degree,unemployed,$37500 - $49999,4,4,0,1,0,1,0,0,1,1
0,0,2,55,3,0,0,0,21,3,1,some college - no degree,unemployed,$37500 - $49999,4,4,0,1,0,0,0,1,0,1
0,0,2,55,3,3,0,0,21,3,1,some college - no degree,unemployed,$37500 - $49999,4,4,0,1,0,1,0,0,1,1
0,0,2,80,3,2,1,0,21,3,1,some college - no degree,unemployed,$37500 - $49999,4,4,0,1,0,0,0,0,1,0
2,0,2,55,4,2,1,0,21,3,1,some college - no degree,unemployed,$37500 - $49999,4,4,0,1,0,1,1,0,1,1
2,0,2,55,4,0,0,0,21,3,1,some college - no degree,unemployed,$37500 - $49999,4,4,0,1,0,1,1,0,1,0
2,0,2,80,4,3,0,0,21,3,1,some college - no degree,unemployed,$37500 - $49999,4,4,0,1,0,1,0,0,1,1
2,0,2,80,4,1,1,0,21,3,1,some college - no degree,unemployed,$37500 - $49999,4,4,0,1,0,0,0,1,0,1
2,0,2,55,4,4,0,0,21,3,1,some college - no degree,unemployed,$37500 - $49999,4,4,0,1,0,0,0,0,1,0
2,0,2,55,4,2,1,0,21,3,1,some college - no degree,unemployed,$37500 - $49999,4,4,0,1,0,1,0,0,1,1
1,0,2,55,2,4,0,1,21,2,0,bachelors degree,architecture & engineering,$62500 - $74999,4,3,1,1,3,0,0,0,1,1
1,1,2,80,0,2,1,1,21,2,0,bachelors degree,architecture & engineering,$62500 - $74999,4,3,1,1,3,0,0,0,1,0
1,1,2,80,0,0,0,1,21,2,0,bachelors degree,architecture & engineering,$62500 - $74999,4,3,1,1,3,0,0,0,1,1
1,1,2,80,0,1,1,1,21,2,0,bachelors degree,architecture & engineering,$62500 - $74999,4,3,1,1,3,1,0,0,1,0
