destination,passanger,weather,temperature,time,coupon,expiration,gender,age,maritalStatus,has_children,education,occupation,income,car,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ5min,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,direction_opp,Y
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Male,21,Single,0.0,Bachelors degree,Architecture & Engineering,$62500 - $74999,missing,never,less1,4~8,4~8,less1,1.0,0.0,0.0,0.0,1.0,1.0
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Male,21,Single,0.0,Bachelors degree,Architecture & Engineering,$62500 - $74999,missing,never,less1,4~8,4~8,less1,1.0,0.0,0.0,0.0,1.0,0.0
No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Male,21,Single,0.0,Bachelors degree,Architecture & Engineering,$62500 - $74999,missing,never,less1,4~8,4~8,less1,1.0,0.0,0.0,0.0,1.0,1.0
No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Male,21,Single,0.0,Bachelors degree,Architecture & Engineering,$62500 - $74999,missing,never,less1,4~8,4~8,less1,1.0,1.0,0.0,0.0,1.0,0.0
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,21,Single,0.0,Bachelors degree,Architecture & Engineering,$62500 - $74999,missing,never,less1,4~8,4~8,less1,1.0,0.0,0.0,0.0,1.0,0.0
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Male,21,Single,0.0,Bachelors degree,Architecture & Engineering,$62500 - $74999,missing,never,less1,4~8,4~8,less1,1.0,1.0,0.0,0.0,1.0,0.0
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,21,Single,0.0,Bachelors degree,Architecture & Engineering,$62500 - $74999,missing,never,less1,4~8,4~8,less1,1.0,1.0,0.0,0.0,1.0,0.0
No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(<20),1d,Male,21,Single,0.0,Bachelors degree,Architecture & Engineering,$62500 - $74999,missing,never,less1,4~8,4~8,less1,1.0,1.0,0.0,0.0,1.0,1.0
No Urgent Place,Friend(s),Sunny,80,6PM,Coffee House,2h,Male,21,Single,0.0,Bachelors degree,Architecture & Engineering,$62500 - $74999,missing,never,less1,4~8,4~8,less1,1.0,0.0,0.0,0.0,1.0,0.0
No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Male,21,Single,0.0,Bachelors degree,Architecture & Engineering,$62500 - $74999,missing,never,less1,4~8,4~8,less1,1.0,1.0,0.0,0.0,1.0,1.0
No Urgent Place,Friend(s),Sunny,55,2PM,Coffee House,2h,Male,21,Single,0.0,Bachelors degree,Architecture & Engineering,$62500 - $74999,missing,never,less1,4~8,4~8,less1,1.0,0.0,0.0,0.0,1.0,0.0
No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Male,21,Single,0.0,Bachelors degree,Architecture & Engineering,$62500 - $74999,missing,never,less1,4~8,4~8,less1,1.0,1.0,0.0,0.0,1.0,1.0
No Urgent Place,Alone,Sunny,55,10AM,Coffee House,2h,Male,21,Single,0.0,Bachelors degree,Architecture & Engineering,$62500 - $74999,missing,never,less1,4~8,4~8,less1,1.0,0.0,0.0,0.0,1.0,0.0
Home,Alone,Sunny,55,6PM,Bar,1d,Male,21,Single,0.0,Bachelors degree,Architecture & Engineering,$62500 - $74999,missing,never,less1,4~8,4~8,less1,1.0,0.0,0.0,1.0,0.0,1.0
Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Male,21,Single,0.0,Bachelors degree,Architecture & Engineering,$62500 - $74999,missing,never,less1,4~8,4~8,less1,1.0,1.0,0.0,0.0,1.0,0.0
Home,Alone,Sunny,80,6PM,Coffee House,2h,Male,21,Single,0.0,Bachelors degree,Architecture & Engineering,$62500 - $74999,missing,never,less1,4~8,4~8,less1,1.0,0.0,0.0,0.0,1.0,0.0
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,21,Single,0.0,Bachelors degree,Architecture & Engineering,$62500 - $74999,missing,never,less1,4~8,4~8,less1,1.0,1.0,1.0,0.0,1.0,0.0
